,0
1233,98.64
1234,98.72
1235,98.8
1236,98.88
1237,98.96000000000001
1238,99.04
1239,99.12
1240,99.2
1241,99.28
1242,99.36
1243,99.44
1244,99.52
1245,99.60000000000001
1246,99.68
1247,99.76
1248,99.84
1249,99.92
1250,100.0
1251,100.08
1252,100.16
1253,100.24000000000001
1254,100.32000000000001
1255,100.4
1256,100.48
1257,100.56
1258,100.64
1259,100.72
1260,100.8
1261,100.88
1262,100.96000000000001
1263,101.04
1264,101.12
1265,101.2
1266,101.28
1267,101.36
1268,101.44
1269,101.52
1270,101.60000000000001
1271,101.68
1272,101.76
1273,101.84
1274,101.92
1275,102.0
1276,102.08
1277,102.16
1278,102.24000000000001
1279,102.32000000000001
1280,102.4
1281,102.48
1282,102.56
1283,102.64
1284,102.72
1285,102.8
1286,102.88
1287,102.96000000000001
1288,103.04
1289,103.12
1290,103.2
1291,103.28
1292,103.36
1293,103.44
1294,103.52
1295,103.60000000000001
1296,103.68
1297,103.76
1298,103.84
1299,103.92
1300,104.0
1301,104.08
1302,104.16
1303,104.24000000000001
1304,104.32000000000001
1305,104.4
1306,104.48
1307,104.56
1308,104.64
1309,104.72
1310,104.8
1311,104.88
1312,104.96000000000001
1313,105.04
1314,105.12
1315,105.2
1316,105.28
1317,105.36
1318,105.44
1319,105.52
1320,105.60000000000001
1321,105.68
1322,105.76
1323,105.84
1324,105.92
1325,106.0
1326,106.08
1327,106.16
1328,106.24000000000001
1329,106.32000000000001
1330,106.4
1331,106.48
1332,106.56
1333,106.64
1334,106.72
1335,106.8
1336,106.88
1337,106.96000000000001
1338,107.04
1339,107.12
1340,107.2
1341,107.28
1342,107.36
1343,107.44
1344,107.52
1345,107.60000000000001
1346,107.68
1347,107.76
1348,107.84
1349,107.92
1350,108.0
1351,108.08
1352,108.16
1353,108.24000000000001
1354,108.32000000000001
1355,108.4
1356,108.48
1357,108.56
1358,108.64
1359,108.72
1360,108.8
1361,108.88
1362,108.96000000000001
1363,109.04
1364,109.12
1365,109.2
1366,109.28
1367,109.36
1368,109.44
1369,109.52
1370,109.60000000000001
1371,109.68
1372,109.76
1373,109.84
1374,109.92
1375,110.0
1376,110.08
1377,110.16
1378,110.24000000000001
1379,110.32000000000001
1380,110.4
1381,110.48
1382,110.56
1383,110.64
1384,110.72
1385,110.8
1386,110.88
1387,110.96000000000001
1388,111.04
1389,111.12
1390,111.2
1391,111.28
1392,111.36
1393,111.44
1394,111.52
1395,111.60000000000001
1396,111.68
1397,111.76
1398,111.84
1399,111.92
1400,112.0
1401,112.08
1402,112.16
1403,112.24000000000001
1404,112.32000000000001
1405,112.4
1406,112.48
1407,112.56
1408,112.64
1409,112.72
1410,112.8
1411,112.88
1412,112.96000000000001
1413,113.04
1414,113.12
1415,113.2
1416,113.28
1417,113.36
1418,113.44
1419,113.52
1420,113.60000000000001
1421,113.68
1422,113.76
1423,113.84
1424,113.92
1425,114.0
1426,114.08
1427,114.16
1428,114.24000000000001
1429,114.32000000000001
1430,114.4
1431,114.48
1432,114.56
1433,114.64
1434,114.72
1435,114.8
1436,114.88
1437,114.96000000000001
1438,115.04
1439,115.12
1440,115.2
1441,115.28
1442,115.36
1443,115.44
1444,115.52
1445,115.60000000000001
1446,115.68
1447,115.76
1448,115.84
1449,115.92
1450,116.0
1451,116.08
1452,116.16
1453,116.24000000000001
1454,116.32000000000001
1455,116.4
1456,116.48
1457,116.56
1458,116.64
1459,116.72
1460,116.8
1461,116.88
1462,116.96000000000001
1463,117.04
1464,117.12
1465,117.2
1466,117.28
1467,117.36
1468,117.44
1469,117.52
1470,117.60000000000001
1471,117.68
1472,117.76
1473,117.84
1474,117.92
1475,118.0
1476,118.08
1477,118.16
1478,118.24000000000001
1479,118.32000000000001
1480,118.4
1481,118.48
1482,118.56
1483,118.64
1484,118.72
1485,118.8
1486,118.88
1487,118.96000000000001
1488,119.04
1489,119.12
1490,119.2
1491,119.28
1492,119.36
1493,119.44
1494,119.52
1495,119.60000000000001
1496,119.68
1497,119.76
1498,119.84
1499,119.92
1500,120.0
1501,120.08
1502,120.16
1503,120.24000000000001
1504,120.32000000000001
1505,120.4
1506,120.48
1507,120.56
1508,120.64
1509,120.72
1510,120.8
1511,120.88
1512,120.96000000000001
1513,121.04
1514,121.12
1515,121.2
1516,121.28
1517,121.36
1518,121.44
1519,121.52
1520,121.60000000000001
1521,121.68
1522,121.76
1523,121.84
1524,121.92
1525,122.0
1526,122.08
1527,122.16
1528,122.24000000000001
1529,122.32000000000001
1530,122.4
1531,122.48
1532,122.56
1533,122.64
1534,122.72
1535,122.8
1536,122.88
1537,122.96000000000001
1538,123.04
1539,123.12
1540,123.2
1541,123.28
1542,123.36
1543,123.44
1544,123.52
1545,123.60000000000001
1546,123.68
1547,123.76
1548,123.84
1549,123.92
1550,124.0
1551,124.08
1552,124.16
1553,124.24000000000001
1554,124.32000000000001
1555,124.4
1556,124.48
1557,124.56
1558,124.64
1559,124.72
1560,124.8
1561,124.88000000000001
1562,124.96000000000001
1563,125.04
1564,125.12
1565,125.2
1566,125.28
1567,125.36
1568,125.44
1569,125.52
1570,125.60000000000001
1571,125.68
1572,125.76
1573,125.84
1574,125.92
1575,126.0
1576,126.08
1577,126.16
1578,126.24000000000001
1579,126.32000000000001
1580,126.4
1581,126.48
1582,126.56
1583,126.64
1584,126.72
1585,126.8
1586,126.88000000000001
1587,126.96000000000001
1588,127.04
1589,127.12
1590,127.2
1591,127.28
1592,127.36
1593,127.44
1594,127.52
1595,127.60000000000001
1596,127.68
1597,127.76
1598,127.84
1599,127.92
1600,128.0
1601,128.08
1602,128.16
1603,128.24
1604,128.32
1605,128.4
1606,128.48
1607,128.56
1608,128.64000000000001
1609,128.72
1610,128.8
1611,128.88
1612,128.96
1613,129.04
1614,129.12
1615,129.2
1616,129.28
1617,129.36
1618,129.44
1619,129.52
1620,129.6
1621,129.68
1622,129.76
1623,129.84
1624,129.92000000000002
1625,130.0
1626,130.08
1627,130.16
1628,130.24
1629,130.32
1630,130.4
1631,130.48
1632,130.56
1633,130.64000000000001
1634,130.72
1635,130.8
1636,130.88
1637,130.96
1638,131.04
1639,131.12
1640,131.2
1641,131.28
1642,131.36
1643,131.44
1644,131.52
1645,131.6
1646,131.68
1647,131.76
1648,131.84
1649,131.92000000000002
1650,132.0
1651,132.08
1652,132.16
1653,132.24
1654,132.32
1655,132.4
1656,132.48
1657,132.56
1658,132.64000000000001
1659,132.72
1660,132.8
1661,132.88
1662,132.96
1663,133.04
1664,133.12
1665,133.2
1666,133.28
1667,133.36
1668,133.44
1669,133.52
1670,133.6
1671,133.68
1672,133.76
1673,133.84
1674,133.92000000000002
1675,134.0
1676,134.08
1677,134.16
1678,134.24
1679,134.32
1680,134.4
1681,134.48
1682,134.56
1683,134.64000000000001
1684,134.72
1685,134.8
1686,134.88
1687,134.96
1688,135.04
1689,135.12
1690,135.2
1691,135.28
1692,135.36
1693,135.44
1694,135.52
1695,135.6
1696,135.68
1697,135.76
1698,135.84
1699,135.92000000000002
1700,136.0
1701,136.08
1702,136.16
1703,136.24
1704,136.32
1705,136.4
1706,136.48
1707,136.56
1708,136.64000000000001
1709,136.72
1710,136.8
1711,136.88
1712,136.96
1713,137.04
1714,137.12
1715,137.20000000000002
1716,137.28
1717,137.36
1718,137.44
1719,137.52
1720,137.6
1721,137.68
1722,137.76
1723,137.84
1724,137.92000000000002
1725,138.0
1726,138.08
1727,138.16
1728,138.24
1729,138.32
1730,138.4
1731,138.48
1732,138.56
1733,138.64000000000001
1734,138.72
1735,138.8
1736,138.88
1737,138.96
1738,139.04
1739,139.12
1740,139.20000000000002
1741,139.28
1742,139.36
1743,139.44
1744,139.52
1745,139.6
1746,139.68
1747,139.76
1748,139.84
1749,139.92000000000002
1750,140.0
1751,140.08
1752,140.16
1753,140.24
1754,140.32
1755,140.4
1756,140.48
1757,140.56
1758,140.64000000000001
1759,140.72
1760,140.8
1761,140.88
1762,140.96
1763,141.04
1764,141.12
1765,141.20000000000002
1766,141.28
1767,141.36
1768,141.44
1769,141.52
1770,141.6
1771,141.68
1772,141.76
1773,141.84
1774,141.92000000000002
1775,142.0
1776,142.08
1777,142.16
1778,142.24
1779,142.32
1780,142.4
1781,142.48
1782,142.56
1783,142.64000000000001
1784,142.72
1785,142.8
1786,142.88
1787,142.96
1788,143.04
1789,143.12
1790,143.20000000000002
1791,143.28
1792,143.36
1793,143.44
1794,143.52
1795,143.6
1796,143.68
1797,143.76
1798,143.84
1799,143.92000000000002
1800,144.0
1801,144.08
1802,144.16
1803,144.24
1804,144.32
1805,144.4
1806,144.48
1807,144.56
1808,144.64000000000001
1809,144.72
1810,144.8
1811,144.88
1812,144.96
1813,145.04
1814,145.12
1815,145.20000000000002
1816,145.28
1817,145.36
1818,145.44
1819,145.52
1820,145.6
1821,145.68
1822,145.76
1823,145.84
1824,145.92000000000002
1825,146.0
1826,146.08
1827,146.16
1828,146.24
1829,146.32
1830,146.4
1831,146.48
1832,146.56
1833,146.64000000000001
1834,146.72
1835,146.8
1836,146.88
1837,146.96
1838,147.04
1839,147.12
1840,147.20000000000002
1841,147.28
1842,147.36
1843,147.44
1844,147.52
1845,147.6
1846,147.68
1847,147.76
1848,147.84
1849,147.92000000000002
1850,148.0
1851,148.08
1852,148.16
1853,148.24
1854,148.32
1855,148.4
1856,148.48
1857,148.56
1858,148.64000000000001
1859,148.72
1860,148.8
1861,148.88
1862,148.96
1863,149.04
1864,149.12
1865,149.20000000000002
1866,149.28
1867,149.36
1868,149.44
1869,149.52
1870,149.6
1871,149.68
1872,149.76
1873,149.84
1874,149.92000000000002
1875,150.0
1876,150.08
1877,150.16
1878,150.24
1879,150.32
1880,150.4
1881,150.48
1882,150.56
1883,150.64000000000001
1884,150.72
1885,150.8
1886,150.88
1887,150.96
1888,151.04
1889,151.12
1890,151.20000000000002
1891,151.28
1892,151.36
1893,151.44
1894,151.52
1895,151.6
1896,151.68
1897,151.76
1898,151.84
1899,151.92000000000002
1900,152.0
1901,152.08
1902,152.16
1903,152.24
1904,152.32
1905,152.4
1906,152.48
1907,152.56
1908,152.64000000000001
1909,152.72
1910,152.8
1911,152.88
1912,152.96
1913,153.04
1914,153.12
1915,153.20000000000002
1916,153.28
1917,153.36
1918,153.44
1919,153.52
1920,153.6
1921,153.68
1922,153.76
1923,153.84
1924,153.92000000000002
1925,154.0
1926,154.08
1927,154.16
1928,154.24
1929,154.32
1930,154.4
1931,154.48
1932,154.56
1933,154.64000000000001
1934,154.72
1935,154.8
1936,154.88
1937,154.96
1938,155.04
1939,155.12
1940,155.20000000000002
1941,155.28
1942,155.36
1943,155.44
1944,155.52
1945,155.6
1946,155.68
1947,155.76
1948,155.84
1949,155.92000000000002
1950,156.0
1951,156.08
1952,156.16
1953,156.24
1954,156.32
1955,156.4
1956,156.48
1957,156.56
1958,156.64000000000001
1959,156.72
1960,156.8
1961,156.88
1962,156.96
1963,157.04
1964,157.12
1965,157.20000000000002
1966,157.28
1967,157.36
1968,157.44
1969,157.52
1970,157.6
1971,157.68
1972,157.76
1973,157.84
1974,157.92000000000002
1975,158.0
1976,158.08
1977,158.16
1978,158.24
1979,158.32
1980,158.4
1981,158.48
1982,158.56
1983,158.64000000000001
1984,158.72
1985,158.8
1986,158.88
1987,158.96
1988,159.04
1989,159.12
